NumIters	Seconds	LearningRate	loss
173300.0	63720.003805	0.001	0.178766
173320.0	63727.555642	0.001	0.501927
173340.0	63734.909276	0.001	0.179352
173360.0	63742.277377	0.001	0.556356
173380.0	63749.621841	0.001	0.30872
173400.0	63757.308008	0.001	0.377721
173420.0	63764.764616	0.001	0.192948
173440.0	63772.157114	0.001	0.0606412
173460.0	63779.327955	0.001	0.352789
173480.0	63786.676888	0.001	0.145026
173500.0	63794.11465	0.001	0.543737
173520.0	63801.489037	0.001	1.26697
173540.0	63808.842748	0.001	0.625623
173560.0	63816.100008	0.001	0.444489
173580.0	63823.403703	0.001	0.10723
173600.0	63830.915122	0.001	0.225911
173620.0	63838.377269	0.001	0.609345
173640.0	63845.771639	0.001	0.395332
173660.0	63853.142009	0.001	0.286247
173680.0	63860.47171	0.001	0.641562
173700.0	63867.853214	0.001	0.225499
173720.0	63875.196055	0.001	0.769547
173740.0	63882.540288	0.001	0.597368
173760.0	63889.751579	0.001	0.150466
173780.0	63897.053951	0.001	0.513833
173800.0	63904.361107	0.001	0.0649565
173820.0	63911.731791	0.001	0.225186
173840.0	63919.127106	0.001	0.128473
173860.0	63926.524011	0.001	0.344842
173880.0	63933.784886	0.001	0.175508
173900.0	63941.210727	0.001	0.390589
173920.0	63948.639359	0.001	0.314379
173940.0	63956.143442	0.001	0.393932
173960.0	63963.597983	0.001	0.178127
173980.0	63971.058943	0.001	0.509875
174000.0	63978.509371	0.001	0.493418
174020.0	63985.889768	0.001	0.101437
174040.0	63993.223022	0.001	0.496234
174060.0	64000.447556	0.001	0.280362
174080.0	64007.733732	0.001	0.283731
174100.0	64015.14108	0.001	0.771008
174120.0	64022.553726	0.001	0.817553
174140.0	64029.958397	0.001	0.275226
174160.0	64037.32648	0.001	1.08522
174180.0	64044.588143	0.001	0.574366
174200.0	64051.972182	0.001	0.17544
174220.0	64059.228237	0.001	0.506309
174240.0	64066.707567	0.001	0.514191
174260.0	64074.099093	0.001	0.779353
174280.0	64081.465903	0.001	0.313216
174300.0	64088.740671	0.001	0.450856
174320.0	64096.025313	0.001	0.20612
174340.0	64103.467293	0.001	0.136762
174360.0	64110.8102	0.001	0.142987
174380.0	64118.22808	0.001	0.182542
174400.0	64125.538465	0.001	0.567882
